CatKPIDataID,CustomerNumber,ShipTo,Make,Model,SerialNumber,WieseID,WorkOrder,WorkOrderName,PromiseDate,ServiceType,InvoiceDate,InvoiceDateTime,InvoiceTotal,Division,SubClassShortDesc,Critical,MfgYear,Age,LastLaborDate,TechAssignedDate,DispatchCompleteDate,DateInShip,DispatchCreateDate,servstart,servstop,MinLaborDate,MaxLaborDate,LaborHours,TimeDown,LaborDiff,ResponseTime,TimeToSubmit,Response,Time_to_Complete,Hours_to_Submit,InvoiceMonth,InvoiceYear,Location,Branch
4036,250040,1,JUN,ETR340A,82826304,9112Y,84905,CODES OUT,NULL,Reactive,00:00.0,4/25/23 7:15,111,Contengency,Reach Truck,,2020,3,4/22/23 7:30,4/22/23 3:57,4/22/23 7:34,4/22/23 3:57,4/22/23 3:57,4/22/23 3:57,4/22/23 7:34,4/22/23 6:00,4/22/23 7:30,1.5,3.55,1.5,2.05,71.68,0,0,8.5,April,2023,Morton,CAT Morton
4035,250040,1,TEN,M20,M2014099,M4242,84862,MAIN BROOM ISSUES,NULL,Damage,00:00.0,4/25/23 7:15,228,Maintenance,Sweeper/Scrubber,,2022,1,4/21/23 14:00,4/21/23 7:41,4/24/23 13:37,4/21/23 7:41,4/21/23 7:41,4/21/23 7:41,4/24/23 13:37,4/21/23 10:00,4/21/23 14:00,4,6.32,4,2.32,17.63,2.32,6.32,2.38,April,2023,Morton,CAT Morton
4056,250040,1,MIT,FBC25N,A4BC220357,M4067,84861,P/S BRUSH SET,NULL,Reactive,00:00.0,4/26/23 14:50,1001.74,Inbound,Stand Up Counterbalance,,2007,16,4/25/23 9:30,4/21/23 7:22,4/26/23 12:44,4/21/23 7:22,4/21/23 7:22,4/21/23 7:22,4/26/23 12:44,4/21/23 12:30,4/25/23 9:30,5.5,98.13,93,5.13,2.1,5,19,2.1,April,2023,Morton,CAT Morton
4018,250040,1,MIT,FBC25N,A4BC220357,M4067,84860,DAMAGE LDCP &  B/U ALARM,NULL,Damage,00:00.0,4/21/23 14:52,85.5,Inbound,Stand Up Counterbalance,,2007,16,4/21/23 10:30,4/21/23 7:07,4/21/23 10:53,4/21/23 7:07,4/21/23 7:07,4/21/23 7:07,4/21/23 10:53,4/21/23 9:30,4/21/23 10:30,1.5,3.38,1,2.38,3.98,2,3,3.98,April,2023,Morton,CAT Morton
4034,250040,1,CAT,E5000,A4EC221537,M4093,84857,PULLEYS DAMAGED,NULL,Reactive,00:00.0,4/25/23 7:14,843.82,Outbound,Sit Down Electric,,2007,16,4/22/23 6:00,4/21/23 4:00,4/22/23 7:13,4/21/23 4:00,4/21/23 4:00,4/21/23 4:00,4/22/23 7:13,4/21/23 4:00,4/22/23 6:00,3,26,26,0,72.02,0,8.5,8.5,April,2023,Morton,CAT Morton
4020,250040,1,CAT,2P5000,AT3535724,0600Y,84856,HOSES DAMAGED,NULL,Reactive,00:00.0,4/21/23 14:54,510.36,Outbound,Sit Down IC,,2013,10,4/21/23 6:00,4/21/23 3:58,4/21/23 14:18,4/21/23 3:58,4/21/23 3:58,4/21/23 3:58,4/21/23 14:18,4/21/23 5:00,4/21/23 6:00,1,2.03,1,1.03,0.6,0,0,0.6,April,2023,Morton,CAT Morton
4055,250040,1,CAT,CT660,1HSJGTKR1EJ495301,M4240,84850,AIR FILTER GUAGE,NULL,Reactive,00:00.0,4/26/23 14:49,262.63,Maintenance,Vehicle,,2014,9,4/26/23 11:30,4/20/23 15:34,4/26/23 11:13,4/20/23 15:34,4/20/23 15:34,4/20/23 15:34,4/26/23 11:13,4/21/23 7:30,4/26/23 11:30,4,139.93,124,15.93,3.6,0.43,29.93,3.6,April,2023,Morton,CAT Morton
4054,250040,1,STR,L7501,2FZHRJBA9YAB42261,M4142,84839,REPAIRS FROM PM,NULL,Reactive,00:00.0,4/26/23 14:48,156.11,,Vehicle,,2000,23,4/26/23 9:30,4/20/23 14:38,4/26/23 11:10,4/20/23 14:38,4/20/23 14:38,4/20/23 14:38,4/26/23 11:10,4/26/23 7:30,4/26/23 9:30,2,138.87,2,136.87,3.63,26.87,28.87,3.63,April,2023,Morton,CAT Morton
4015,250040,1,CAT,2EC25E,A2EC362639,M1106,84831,SEAT SWITCH INOP,NULL,Reactive,00:00.0,4/21/23 14:49,142.5,Inbound,Sit Down Electric,,2006,17,4/21/23 12:30,4/20/23 12:46,4/21/23 10:57,4/20/23 12:46,4/20/23 12:46,4/20/23 12:46,4/21/23 10:57,4/21/23 6:30,4/21/23 12:30,2.5,23.73,6,17.73,3.87,3.23,8.23,3.87,April,2023,Morton,CAT Morton
4033,250040,1,JUN,ETR345,82824407,M4169,84825,ESTOP BROKE,NULL,Damage,00:00.0,4/25/23 7:14,315.06,Outbound,Reach Truck,,2018,5,4/24/23 9:30,4/20/23 9:24,4/24/23 7:51,4/20/23 9:24,4/20/23 9:24,4/20/23 9:24,4/24/23 7:51,4/24/23 4:30,4/24/23 9:30,5,96.1,5,91.1,23.38,15.1,17.1,8.15,April,2023,Morton,CAT Morton
4017,250040,1,CAT,2EC25E,A2EC362634,M1104,84823,HOSE ISSUE,NULL,Reactive,00:00.0,4/21/23 14:51,171,Maintenance,Sit Down Electric,,2006,17,4/21/23 11:30,4/20/23 9:01,4/21/23 13:59,4/20/23 9:01,4/20/23 9:01,4/20/23 9:01,4/21/23 13:59,4/20/23 12:00,4/21/23 11:30,3,26.48,23.5,2.98,0.87,2.98,10.98,0.87,April,2023,Morton,CAT Morton
4010,250040,1,JUN,ETR340,82821064,M5367,84820,ERRORS OUT,NULL,Reactive,00:00.0,4/21/23 14:47,399,Rearrangement,Reach Truck,,2012,11,4/21/23 9:30,4/20/23 8:55,4/21/23 6:21,4/20/23 8:55,4/20/23 8:55,4/20/23 8:55,4/21/23 6:21,4/21/23 4:30,4/21/23 9:30,7,24.58,5,19.58,8.43,7.08,9.08,7.28,April,2023,Morton,CAT Morton
4008,250040,1,MIT,FBC25N,A4BC220357,M4067,84818,HORN,NULL,Reactive,00:00.0,4/21/23 14:29,95.12,Inbound,Stand Up Counterbalance,,2007,16,4/20/23 11:30,4/20/23 8:39,4/20/23 12:34,4/20/23 8:39,4/20/23 8:39,4/20/23 8:39,4/20/23 12:34,4/20/23 10:00,4/20/23 11:30,1.5,2.85,1.5,1.35,25.92,1.35,2.85,10.42,April,2023,Morton,CAT Morton
4009,250040,1,TAY,C-426,185972,M1024,84814,BATTERY NOT HOLDING A CHARGE,NULL,Reactive,00:00.0,4/21/23 14:30,57,Outbound,Tow,,2011,12,4/20/23 9:30,4/20/23 8:58,4/21/23 13:58,4/20/23 8:58,4/20/23 7:53,4/20/23 8:58,4/21/23 13:58,4/20/23 8:30,4/20/23 9:30,1,1.62,1,0.62,0.53,0.62,1.62,0.53,April,2023,Morton,CAT Morton
4025,250040,1,CAT,CUV102D,4UF39MPV7KT300754,M4155,84812,NO START,NULL,Reactive,00:00.0,4/21/23 16:07,114,,Personnel Carrier,,2019,4,4/20/23 9:30,4/20/23 7:48,4/21/23 15:39,4/20/23 7:48,4/20/23 7:48,4/20/23 7:48,4/21/23 15:39,4/20/23 8:00,4/20/23 9:30,2,1.7,1.5,0.2,0.47,0.2,1.7,0.35,April,2023,Morton,CAT Morton
3989,250040,1,CAT,E5000,A4EC220854,M4036,84811,LEAK,NULL,Reactive,00:00.0,4/20/23 12:02,88.86,Inbound,Sit Down Electric,,2006,17,4/20/23 10:00,4/20/23 7:12,4/20/23 11:12,4/20/23 7:12,4/20/23 7:12,4/20/23 7:12,4/20/23 11:12,4/20/23 9:00,4/20/23 10:00,1,2.8,1,1.8,0.83,1.5,2.5,0.83,April,2023,Morton,CAT Morton
3988,250040,1,JUN,ETR340A,82820222,5830Q,84810,FORKS ONLY RAISE HALFWAY UP   CODES,NULL,Reactive,00:00.0,4/20/23 12:01,114,Outbound,Reach Truck,,2015,8,4/20/23 6:00,4/20/23 3:56,4/20/23 6:35,4/20/23 3:56,4/20/23 3:56,4/20/23 3:56,4/20/23 6:35,4/20/23 4:00,4/20/23 6:00,2,2.07,2,0.07,5.43,0,0,4.52,April,2023,Morton,CAT Morton
4011,250040,1,JUN,ETR345,82820048,M4160,84809,CODES,NULL,Reactive,00:00.0,4/21/23 14:47,242,Inbound,Reach Truck,,2014,9,4/21/23 15:30,4/20/23 3:53,4/21/23 14:40,4/20/23 3:53,4/20/23 3:53,4/20/23 3:53,4/21/23 14:40,4/20/23 7:00,4/21/23 15:30,3.5,35.62,32.5,3.12,0.12,0,16.5,0.12,April,2023,Morton,CAT Morton
4047,250040,1,JUN,ETR345A,82825275,M4206,84796,ATTACHMENT DAMAGED,NULL,Reactive,00:00.0,4/25/23 15:13,336,Outbound,Reach Truck,,2019,4,4/25/23 13:30,4/19/23 12:31,4/25/23 12:52,4/19/23 12:31,4/19/23 12:31,4/19/23 12:31,4/25/23 12:52,4/19/23 13:30,4/25/23 13:30,5,144.98,144,0.98,2.35,0.98,34.98,2.35,April,2023,Morton,CAT Morton
4007,250040,1,CAT,EC25K,A3EC230401,M4004,84794,BATTERY WONT CHARGE,NULL,Reactive,00:00.0,4/21/23 14:27,205,Outbound,Sit Down Electric,,2002,21,4/20/23 15:00,4/19/23 10:56,4/20/23 13:53,4/19/23 10:56,4/19/23 10:56,4/19/23 10:56,4/20/23 13:53,4/19/23 13:00,4/20/23 15:00,3,28.07,26,2.07,24.57,2.07,12.57,9.07,April,2023,Morton,CAT Morton
4006,250040,1,CAT,EC25N2,ATB3050662,M4143,84793,"BATTERY GASSED, TOW",NULL,Reactive,00:00.0,4/21/23 14:27,228,Outbound,Sit Down Electric,,2014,9,4/20/23 11:30,4/19/23 10:54,4/20/23 13:49,4/19/23 10:54,4/19/23 10:54,4/19/23 10:54,4/20/23 13:49,4/19/23 12:00,4/20/23 11:30,4,24.6,23.5,1.1,24.63,1.1,9.1,9.13,April,2023,Morton,CAT Morton
3987,250040,1,JUN,ETR345A,82825275,M4206,84790,LOAD WHEEL AND ATTAMENT DAMAGE,NULL,Damage,00:00.0,4/20/23 12:01,493.52,Outbound,Reach Truck,,2019,4,4/20/23 8:30,4/19/23 9:05,4/20/23 5:54,4/19/23 9:05,4/19/23 9:05,4/19/23 9:05,4/20/23 5:54,4/19/23 9:30,4/20/23 8:30,4,23.42,23,0.42,6.12,0.42,7.92,4.52,April,2023,Morton,CAT Morton
4031,250040,1,JUN,EZS7280NA,91645802,M5362,84789,HOOD STRUT BAD,NULL,Reactive,00:00.0,4/25/23 7:12,925.08,Outbound,Tugger,,2020,3,4/20/23 13:00,4/20/23 9:38,4/24/23 10:14,4/20/23 9:38,4/19/23 9:00,4/20/23 9:38,4/24/23 10:14,4/20/23 7:30,4/20/23 13:00,2,28,5.5,22.5,20.97,7,12.5,5.77,April,2023,Morton,CAT Morton
4024,250040,1,CAT,2P5000,AT3531270,M4104,84787,ATTACHEMENT HOSE BLEW HYDRAULIC LEAK SECONDARY CHAIN LOOSE,NULL,Reactive,00:00.0,4/21/23 16:06,504.86,Outbound,Sit Down IC,,2010,13,4/20/23 12:00,4/19/23 8:46,4/21/23 15:25,4/19/23 8:46,4/19/23 8:46,4/19/23 8:46,4/21/23 15:25,4/19/23 13:00,4/20/23 12:00,8,27.23,23,4.23,0.68,4.23,11.73,0.58,April,2023,Morton,CAT Morton
3986,250040,1,CAT,2P5000,AT3531272,M4107,84784,LEAK,NULL,Damage,00:00.0,4/20/23 12:00,57,Inbound,Sit Down IC,,2010,13,4/19/23 9:00,4/19/23 7:46,4/19/23 15:52,4/19/23 7:46,4/19/23 7:46,4/19/23 7:46,4/19/23 15:52,4/19/23 8:00,4/19/23 9:00,1,1.23,1,0.23,20.13,0.23,1.23,4.63,April,2023,Morton,CAT Morton
4005,250040,1,CAT,2EC25E,A2EC362639,M1106,84783,STALL,NULL,Reactive,00:00.0,4/21/23 14:26,122.5,Inbound,Sit Down Electric,,2006,17,4/20/23 14:00,4/19/23 5:19,4/20/23 12:42,4/19/23 5:19,4/19/23 5:19,4/19/23 5:19,4/20/23 12:42,4/20/23 12:00,4/20/23 14:00,2,32.68,2,30.68,25.73,13,15,10.23,April,2023,Morton,CAT Morton
3985,250040,1,JUN,ETR345A,82820041,M4156,84781,RED LIGHT NEED TIGHTEN,NULL,Damage,00:00.0,4/20/23 12:00,256.5,Outbound,Reach Truck,,2013,10,4/20/23 6:30,4/19/23 5:00,4/20/23 4:49,4/19/23 5:00,4/19/23 5:00,4/19/23 5:00,4/20/23 4:49,4/19/23 7:30,4/20/23 6:30,4.5,25.5,23,2.5,7.18,0,8.5,4.5,April,2023,Morton,CAT Morton
4004,250040,1,CAT,E5000,A4EC221512,M4090,84770,LEAK,NULL,Reactive,00:00.0,4/21/23 14:26,144.71,Inbound,Sit Down Electric,,2007,16,4/19/23 13:30,4/18/23 13:54,4/20/23 13:26,4/18/23 13:54,4/18/23 13:54,4/18/23 13:54,4/20/23 13:26,4/19/23 5:00,4/19/23 13:30,2.5,23.6,8.5,15.1,25,2.1,8.1,9.5,April,2023,Morton,CAT Morton
3963,250040,1,TAY,2534SS,137985,M2066,84762,BATTERY SET,NULL,Reactive,00:00.0,4/18/23 13:08,85.5,Maintenance,Stock Chaser,,1999,24,4/18/23 11:00,4/18/23 8:28,4/18/23 12:09,4/18/23 8:28,4/18/23 8:28,4/18/23 8:28,4/18/23 12:09,4/18/23 9:30,4/18/23 11:00,1.5,2.53,1.5,1.03,0.98,1.03,2.53,0.98,April,2023,Morton,CAT Morton
3983,250040,1,CAT,2EP5000,FN660143,M4506,84761,NO HEAT  POSSIBLE WARRANTY,NULL,Reactive,00:00.0,4/20/23 11:57,228,Outbound,Sit Down Electric,,2022,1,4/19/23 11:30,4/18/23 8:27,4/19/23 11:14,4/18/23 8:27,4/18/23 8:27,4/18/23 8:27,4/19/23 11:14,4/19/23 7:30,4/19/23 11:30,4,27.05,4,23.05,24.72,7.55,11.55,9.22,April,2023,Morton,CAT Morton
3990,250040,1,CAT,GP25N,AT35A09677,2457Y,84760,RENTAL DAMAGE  POSSIBLE WARRANTY,NULL,Damage,00:00.0,4/20/23 14:32,230.42,Outbound,Sit Down IC,,2021,2,4/19/23 15:30,4/19/23 15:11,4/20/23 13:38,4/19/23 15:11,4/18/23 8:10,4/19/23 15:11,4/20/23 13:38,4/19/23 15:00,4/19/23 15:30,0.5,31.33,0.5,30.83,0.9,15.33,15.83,0.9,April,2023,Morton,CAT Morton
3991,250040,1,CAT,GP30N,AT13G04944,4097Y,84759,RENTAL DAMAGE,NULL,Damage,00:00.0,4/20/23 14:32,264.72,Outbound,Sit Down IC,,2021,2,4/19/23 15:00,4/19/23 15:11,4/20/23 13:38,4/19/23 15:11,4/18/23 8:05,4/19/23 15:11,4/20/23 13:38,4/19/23 14:30,4/19/23 15:00,0.5,30.92,0.5,30.42,0.9,14.92,15.42,0.9,April,2023,Morton,CAT Morton
3980,250040,1,CAT,GP25N,AT35A06444,M4165,84758,"SC, NOISE WHILE DRIVING",NULL,Damage,00:00.0,4/20/23 11:56,387.5,Inbound,Sit Down IC,,2018,5,4/19/23 7:30,4/18/23 7:52,4/19/23 11:04,4/18/23 7:52,4/18/23 7:52,4/18/23 7:52,4/19/23 11:04,4/18/23 9:00,4/19/23 7:30,6.5,23.63,22.5,1.13,24.87,1.13,8.13,9.37,April,2023,Morton,CAT Morton
4003,250040,1,CAT,2P5000,AT3531268,M4103,84756,HYDRAULIC HOSES OFF PULLEYS HOSE MOUNT MISSING HARDWARE REDRESS MAST HOSING,NULL,Reactive,00:00.0,4/21/23 14:26,627,Outbound,Sit Down IC,,2010,13,4/19/23 13:00,4/18/23 7:49,4/20/23 14:23,4/18/23 7:49,4/18/23 7:49,4/18/23 7:49,4/20/23 14:23,4/18/23 7:00,4/19/23 13:00,11,29.18,30,-0.82,24.05,0,13.68,8.55,April,2023,Morton,CAT Morton
3982,250040,1,CAT,GP25N,AT35A08572,1487V,84754,RENTAL DAMAGE  POSSIBLE WARRANTY,NULL,Damage,00:00.0,4/20/23 11:57,353.31,Outbound,Sit Down IC,,2020,3,4/19/23 14:30,4/18/23 7:57,4/18/23 8:07,4/18/23 7:57,4/18/23 7:57,4/18/23 7:57,4/18/23 8:07,4/19/23 14:00,4/19/23 14:30,0.5,30.55,0.5,30.05,51.83,14.55,15.05,20.83,April,2023,Morton,CAT Morton
3955,250040,1,CAT,EC25N2,ATB3050465,M4208,84751,DUE PM,NULL,Reactive,00:00.0,4/18/23 7:01,0,Outbound,Sit Down Electric,,2014,9,4/18/23 5:24,4/18/23 5:21,4/18/23 5:24,4/18/23 5:21,4/18/23 5:21,4/18/23 5:21,4/18/23 5:24,NULL,NULL,NULL,0.05,NULL,NULL,1.62,0,0,0,April,2023,Morton,CAT Morton
3956,250040,1,CAT,EC25N2,ATB3050465,M4208,84750,DIES,NULL,Reactive,00:00.0,4/18/23 8:16,168.34,Outbound,Sit Down Electric,,2014,9,4/18/23 7:30,4/18/23 5:18,4/18/23 7:25,4/18/23 5:18,4/18/23 5:18,4/18/23 5:18,4/18/23 7:25,4/18/23 5:00,4/18/23 7:30,2.5,2.2,2.5,-0.3,0.85,0,0,0.77,April,2023,Morton,CAT Morton
4026,250040,1,CAT,E5000,A4EC220854,M4036,84748,TIRE SET,NULL,Damage,00:00.0,4/24/23 11:14,2072.65,Inbound,Sit Down Electric,,2006,17,4/19/23 14:30,4/18/23 5:15,4/19/23 13:44,4/18/23 5:15,4/18/23 5:15,4/18/23 5:15,4/19/23 13:44,4/18/23 14:30,4/19/23 14:30,1.5,33.25,24,9.25,117.5,7,15.5,23,April,2023,Morton,CAT Morton
3965,250040,1,CAT,E5000,A4EC220854,M4036,84747,LEAK,NULL,Reactive,00:00.0,4/18/23 15:05,135.4,Inbound,Sit Down Electric,,2006,17,4/18/23 14:30,4/18/23 5:14,4/18/23 13:52,4/18/23 5:14,4/18/23 5:14,4/18/23 5:14,4/18/23 13:52,4/18/23 11:00,4/18/23 14:30,2,9.27,3.5,5.77,1.22,3.5,7,1.22,April,2023,Morton,CAT Morton
3964,250040,1,CAT,2EP5000,FN660144,M4500,84746,HYD. LEAK  POSSIBLE WARRANTY,NULL,Reactive,00:00.0,4/18/23 15:04,188,Inbound,Sit Down Electric,,2022,1,4/18/23 14:00,4/18/23 4:51,4/18/23 14:08,4/18/23 4:51,4/18/23 4:51,4/18/23 4:51,4/18/23 14:08,4/18/23 10:30,4/18/23 14:00,3,9.15,3.5,5.65,0.93,3,6.5,0.93,April,2023,Morton,CAT Morton
3960,250040,1,CAT,GP25N,AT35A06173,M5364,84745,NO START IN FLAT BED AREA,NULL,Reactive,00:00.0,4/18/23 13:04,114,Outbound,Sit Down IC,,2015,8,4/18/23 9:00,4/18/23 3:51,4/18/23 8:43,4/18/23 3:51,4/18/23 3:51,4/18/23 3:51,4/18/23 8:43,4/18/23 4:30,4/18/23 9:00,2,5.15,4.5,0.65,4.35,0,1.5,4.35,April,2023,Morton,CAT Morton
3978,250040,1,CAT,EC25KE,A3EC340364,M1187,84741,DASH LIGHT ON,NULL,Reactive,00:00.0,4/20/23 11:55,434.25,Metlab,Sit Down Electric,,2003,20,4/19/23 16:00,4/17/23 13:43,4/19/23 15:40,4/17/23 13:43,4/17/23 13:43,4/17/23 13:43,4/19/23 15:40,4/17/23 14:00,4/19/23 16:00,5,50.28,50,0.28,20.25,0.28,19.28,4.75,April,2023,Morton,CAT Morton
3959,250040,1,TAY,C-426,185975,M1027,84738,SRO FAULT,NULL,Reactive,00:00.0,4/18/23 13:03,142.5,Outbound,Tow,,2011,12,4/18/23 10:30,4/17/23 13:14,4/18/23 8:34,4/17/23 13:14,4/17/23 13:14,4/17/23 13:14,4/18/23 8:34,4/17/23 14:30,4/18/23 10:30,2.5,21.27,20,1.27,4.48,1.27,5.77,4.48,April,2023,Morton,CAT Morton
3942,250040,1,CAT,EC25K,A3EC241049,M1261,84720,SHUTS DOWN.,NULL,Reactive,00:00.0,4/17/23 12:48,114,Inbound,Sit Down Electric,,2004,19,4/17/23 12:00,4/17/23 8:20,4/17/23 12:24,4/17/23 8:20,4/17/23 8:20,4/17/23 8:20,4/17/23 12:24,4/17/23 8:30,4/17/23 12:00,2,3.67,3.5,0.17,0.4,0.17,3.67,0.4,April,2023,Morton,CAT Morton
3958,250040,1,CAT,2EP5000,FN660138,M4507,84717,HYD. LEAK  POSSIBLE WARRANTY,NULL,Reactive,00:00.0,4/18/23 13:03,416,Outbound,Sit Down Electric,,2022,1,4/18/23 9:30,4/17/23 7:19,4/18/23 8:32,4/17/23 7:19,4/17/23 7:19,4/17/23 7:19,4/18/23 8:32,4/17/23 10:00,4/18/23 9:30,7,26.18,23.5,2.68,4.52,2.5,10.5,4.52,April,2023,Morton,CAT Morton
4030,250040,1,CAT,M320F,CATM320FCFB200684,M4230,84716,"LEFT JOYSTICK, FALLING APART",NULL,Reactive,00:00.0,4/25/23 7:12,85.5,Inbound,Excavator,,2019,4,4/24/23 11:00,4/17/23 7:17,4/24/23 11:09,4/17/23 7:17,4/17/23 7:17,4/17/23 7:17,4/24/23 11:09,4/24/23 9:30,4/24/23 11:00,1.5,171.72,1.5,170.22,20.05,44.5,46,4.85,April,2023,Morton,CAT Morton
3946,250040,1,JUN,ETR340,82821046,M5366,84715,RT SIDE PANEL DAMAGED,NULL,Reactive,00:00.0,4/17/23 14:00,114,Outbound,Reach Truck,,2012,11,4/17/23 7:30,4/17/23 7:10,4/17/23 12:56,4/17/23 7:10,4/17/23 7:10,4/17/23 7:10,4/17/23 12:56,4/17/23 5:30,4/17/23 7:30,2,0.33,2,-1.67,1.07,0,0,1.07,April,2023,Morton,CAT Morton
4002,250040,1,CAT,E5000,A4EC221215,M4056,84713,HYDR LEAK,NULL,Reactive,00:00.0,4/21/23 14:24,130.98,Outbound,Sit Down Electric,,2007,16,4/15/23 9:00,4/15/23 7:53,4/20/23 13:36,4/15/23 7:53,4/15/23 7:53,4/15/23 7:53,4/20/23 13:36,4/15/23 8:00,4/15/23 9:00,1,1.12,1,0.12,24.8,0,0,9.3,April,2023,Morton,CAT Morton
4001,250040,1,CAT,M322,CAT0M322TKE600220,M4232,84703,TRANS. ERRORS,NULL,Reactive,00:00.0,4/21/23 14:23,57,Inbound,Excavator,,2022,1,4/17/23 5:30,4/14/23 14:14,4/21/23 12:51,4/14/23 14:14,4/14/23 14:14,4/14/23 14:14,4/21/23 12:51,4/17/23 4:30,4/17/23 5:30,1,63.27,1,62.27,1.53,1.77,1.77,1.53,April,2023,Morton,CAT Morton
